POSTCODE,POSTCODE2,POSTCODE_PCDS,LAT,LONG,LEP1,LEP2,COUNTY_CODE,COUNTY_DIST_CODE,WARD_CODE
DL104EG,DL10 4EG,DL10 4EG,54.405100,-1.748862,E37000039,,E10000023,E07000166,E05006294
DL104EH,DL10 4EH,DL10 4EH,54.405125,-1.747143,E37000039,,E10000023,E07000166,E05006294
DL104EJ,DL10 4EJ,DL10 4EJ,54.405355,-1.746242,E37000039,,E10000023,E07000166,E05006294
DL104EL,DL10 4EL,DL10 4EL,54.405616,-1.746456,E37000039,,E10000023,E07000166,E05006294
DL104EN,DL10 4EN,DL10 4EN,54.405493,-1.747489,E37000039,,E10000023,E07000166,E05006294
DL104EP,DL10 4EP,DL10 4EP,54.404205,-1.750408,E37000039,,E10000023,E07000166,E05006294
DL104EQ,DL10 4EQ,DL10 4EQ,54.405505,-1.744947,E37000039,,E10000023,E07000166,E05006294
DL104ER,DL10 4ER,DL10 4ER,54.404739,-1.752192,E37000039,,E10000023,E07000166,E05006294
DL104ES,DL10 4ES,DL10 4ES,54.405769,-1.750830,E37000039,,E10000023,E07000166,E05006294
DL104ET,DL10 4ET,DL10 4ET,54.405637,-1.752233,E37000039,,E10000023,E07000166,E05006294
DL104EU,DL10 4EU,DL10 4EU,54.405366,-1.751541,E37000039,,E10000023,E07000166,E05006294
DL104EW,DL10 4EW,DL10 4EW,54.404835,-1.746846,E37000039,,E10000023,E07000166,E05006294
DL104EX,DL10 4EX,DL10 4EX,54.405064,-1.753191,E37000039,,E10000023,E07000166,E05006294
DL104EY,DL10 4EY,DL10 4EY,54.405189,-1.752497,E37000039,,E10000023,E07000166,E05006294
DL104EZ,DL10 4EZ,DL10 4EZ,54.405568,-1.753543,E37000039,,E10000023,E07000166,E05006294
DL104FB,DL10 4FB,DL10 4FB,54.411388,-1.746766,E37000039,,E10000023,E07000166,E05006294
DL104FD,DL10 4FD,DL10 4FD,54.411510,-1.745526,E37000039,,E10000023,E07000166,E05006294
DL104FF,DL10 4FF,DL10 4FF,54.405642,-1.749281,E37000039,,E10000023,E07000166,E05006294
DL104FP,DL10 4FP,DL10 4FP,54.410459,-1.745748,E37000039,,E10000023,E07000166,E05006294
DL104FR,DL10 4FR,DL10 4FR,54.406608,-1.739502,E37000039,,E10000023,E07000166,E05006294
DL104FS,DL10 4FS,DL10 4FS,54.410459,-1.745748,E37000039,,E10000023,E07000166,E05006294
DL104FT,DL10 4FT,DL10 4FT,54.410459,-1.745748,E37000039,,E10000023,E07000166,E05006294
DL104FW,DL10 4FW,DL10 4FW,54.410459,-1.745748,E37000039,,E10000023,E07000166,E05006294
DL104FX,DL10 4FX,DL10 4FX,54.410459,-1.745748,E37000039,,E10000023,E07000166,E05006294
DL104FY,DL10 4FY,DL10 4FY,54.406608,-1.739502,E37000039,,E10000023,E07000166,E05006294
DL104FZ,DL10 4FZ,DL10 4FZ,54.406608,-1.739502,E37000039,,E10000023,E07000166,E05006294
DL104GA,DL10 4GA,DL10 4GA,54.408473,-1.733512,E37000039,,E10000023,E07000166,E05006292
DL104GB,DL10 4GB,DL10 4GB,54.406534,-1.742707,E37000039,,E10000023,E07000166,E05006294
DL104GD,DL10 4GD,DL10 4GD,54.404842,-1.750112,E37000039,,E10000023,E07000166,E05006294
